Diode 1 Set Temp (C)	Set Power (W)	Diode 1 RCF	Diode 1 Max Current (A)	Output Power (W)	Vanadate Temp (C)	Diode 2 Temp (C)	Diode 2 Photocell Voltage (V)	Baseplate Temp (C)	Current (A)	Diode 2 Current (A)	Diode 2 Max Current (A)	Laser Head Hours (hr)	Diode 1 Temp (C)	Diode 1 Photocell Voltage (V)	LBO Temp (C)	Diode 1 Heatsink Temp (C)	LBO Set Temp (C)	Diode 1 Current (A)	Vanadate Set Temp (C)	Diode 2 RCF	Power Supply Hours (hr)	Diode 1 Hours (hr)	Diode 2 Hours (hr)	Diode 2 Set Temp (C)	Diode 2 Heatsink Temp (C)	Etalon Temp (C)
2016-01-19 05:43:23.798296	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	2.99900000e+01	2.26900000e+01	3.16000000e+00	2.77200000e+01	5.04400000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21600000e+01	2.96000000e+00	1.47500000e+02	3.31500000e+01	1.47500000e+02	4.90700000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40800000e+01	3.73200000e+01
2016-01-19 05:43:24.419770	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79250000e+01	2.99900000e+01	2.27100000e+01	3.16000000e+00	2.77200000e+01	5.04400000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.96000000e+00	1.47500000e+02	3.31500000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40800000e+01	3.73200000e+01
2016-01-19 05:43:24.955930	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	2.99900000e+01	2.27100000e+01	3.16000000e+00	2.77200000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.95000000e+00	1.47500000e+02	3.31500000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40800000e+01	3.72900000e+01
2016-01-19 05:43:25.475222	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.27000000e+01	3.16000000e+00	2.77200000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.96000000e+00	1.47570000e+02	3.31500000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40800000e+01	3.72900000e+01
2016-01-19 05:43:26.090045	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.27000000e+01	3.16000000e+00	2.77200000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.95000000e+00	1.47570000e+02	3.31500000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40800000e+01	3.72900000e+01
2016-01-19 05:43:26.689005	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.27000000e+01	3.17000000e+00	2.77300000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.95000000e+00	1.47460000e+02	3.31600000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73000000e+01
2016-01-19 05:43:27.293495	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	2.99900000e+01	2.26900000e+01	3.16000000e+00	2.77300000e+01	5.04400000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.95000000e+00	1.47460000e+02	3.31600000e+01	1.47500000e+02	4.90700000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73000000e+01
2016-01-19 05:43:28.012601	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79250000e+01	3.00000000e+01	2.26800000e+01	3.16000000e+00	2.77300000e+01	5.04400000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.95000000e+00	1.47540000e+02	3.31600000e+01	1.47500000e+02	4.90700000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73000000e+01
2016-01-19 05:43:28.592829	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79250000e+01	3.00000000e+01	2.26800000e+01	3.16000000e+00	2.77300000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.95000000e+00	1.47540000e+02	3.31600000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73000000e+01
2016-01-19 05:43:29.254944	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.26800000e+01	3.16000000e+00	2.77300000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.95000000e+00	1.47570000e+02	3.31500000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73200000e+01
2016-01-19 05:43:29.855282	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.26800000e+01	3.16000000e+00	2.77300000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.95000000e+00	1.47570000e+02	3.31500000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73200000e+01
2016-01-19 05:43:30.557839	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.26900000e+01	3.16000000e+00	2.77300000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.95000000e+00	1.47540000e+02	3.31500000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73000000e+01
2016-01-19 05:43:31.123002	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.26900000e+01	3.16000000e+00	2.77300000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.95000000e+00	1.47540000e+02	3.31500000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73000000e+01
2016-01-19 05:43:31.760098	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.26900000e+01	3.16000000e+00	2.77200000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.96000000e+00	1.47460000e+02	3.31300000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40800000e+01	3.73000000e+01
2016-01-19 05:43:32.291066	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79250000e+01	3.00000000e+01	2.26900000e+01	3.16000000e+00	2.77200000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.95000000e+00	1.47460000e+02	3.31300000e+01	1.47500000e+02	4.91000000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40800000e+01	3.73000000e+01
2016-01-19 05:43:32.919722	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79250000e+01	3.00000000e+01	2.26900000e+01	3.16000000e+00	2.77200000e+01	5.04600000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.96000000e+00	1.47460000e+02	3.31300000e+01	1.47500000e+02	4.91000000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40800000e+01	3.73000000e+01
2016-01-19 05:43:33.463495	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79090000e+01	3.00000000e+01	2.26900000e+01	3.16000000e+00	2.77200000e+01	5.04600000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.96000000e+00	1.47460000e+02	3.31300000e+01	1.47500000e+02	4.91000000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40800000e+01	3.73000000e+01
2016-01-19 05:43:34.055429	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79090000e+01	3.00000000e+01	2.26900000e+01	3.16000000e+00	2.77200000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.95000000e+00	1.47460000e+02	3.31300000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73000000e+01
2016-01-19 05:43:34.677666	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00300000e+01	2.27100000e+01	3.17000000e+00	2.77200000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.95000000e+00	1.47540000e+02	3.31600000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73200000e+01
2016-01-19 05:43:35.245829	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00300000e+01	2.27100000e+01	3.16000000e+00	2.77200000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.95000000e+00	1.47540000e+02	3.31600000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73200000e+01
2016-01-19 05:43:35.938378	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79090000e+01	3.00300000e+01	2.27000000e+01	3.17000000e+00	2.77200000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.95000000e+00	1.47420000e+02	3.31600000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73000000e+01
2016-01-19 05:43:36.503701	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79090000e+01	3.00300000e+01	2.27000000e+01	3.17000000e+00	2.77200000e+01	5.04400000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.96000000e+00	1.47420000e+02	3.31600000e+01	1.47500000e+02	4.90700000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73000000e+01
2016-01-19 05:43:37.139260	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00300000e+01	2.27000000e+01	3.16000000e+00	2.77300000e+01	5.04400000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.95000000e+00	1.47500000e+02	3.31600000e+01	1.47500000e+02	4.90700000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73500000e+01
2016-01-19 05:43:37.675278	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79090000e+01	3.00000000e+01	2.27100000e+01	3.16000000e+00	2.77300000e+01	5.04400000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.96000000e+00	1.47500000e+02	3.31600000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73500000e+01
2016-01-19 05:43:38.303441	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.27100000e+01	3.16000000e+00	2.77300000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.95000000e+00	1.47500000e+02	3.31600000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73300000e+01
2016-01-19 05:43:38.835601	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.27300000e+01	3.16000000e+00	2.77300000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.95000000e+00	1.47540000e+02	3.31600000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73300000e+01
2016-01-19 05:43:39.436889	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.27300000e+01	3.16000000e+00	2.77300000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.96000000e+00	1.47540000e+02	3.31600000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73300000e+01
2016-01-19 05:43:40.062187	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.27100000e+01	3.16000000e+00	2.77300000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.95000000e+00	1.47540000e+02	3.31300000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73500000e+01
2016-01-19 05:43:40.632919	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.27100000e+01	3.17000000e+00	2.77300000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.96000000e+00	1.47540000e+02	3.31300000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73500000e+01
2016-01-19 05:43:41.320461	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79250000e+01	3.00000000e+01	2.27000000e+01	3.17000000e+00	2.77300000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21600000e+01	2.95000000e+00	1.47460000e+02	3.31300000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73300000e+01
2016-01-19 05:43:41.889792	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.27000000e+01	3.16000000e+00	2.77300000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21600000e+01	2.95000000e+00	1.47460000e+02	3.31300000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73300000e+01
2016-01-19 05:43:42.527688	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79250000e+01	3.00000000e+01	2.27000000e+01	3.16000000e+00	2.77300000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21600000e+01	2.95000000e+00	1.47500000e+02	3.31500000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73200000e+01
2016-01-19 05:43:43.155214	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00000000e+01	2.27100000e+01	3.16000000e+00	2.77300000e+01	5.04300000e+01	5.18200000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.95000000e+00	1.47500000e+02	3.31500000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73200000e+01
2016-01-19 05:43:43.688651	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79250000e+01	3.00000000e+01	2.27100000e+01	3.16000000e+00	2.77300000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.96000000e+00	1.47500000e+02	3.31500000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73300000e+01
2016-01-19 05:43:44.225812	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	2.99900000e+01	2.27300000e+01	3.16000000e+00	2.77300000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.96000000e+00	1.47500000e+02	3.31500000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40500000e+01	3.73300000e+01
2016-01-19 05:43:44.813829	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	2.99900000e+01	2.27300000e+01	3.16000000e+00	2.77300000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21400000e+01	2.95000000e+00	1.47500000e+02	3.31500000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73300000e+01
2016-01-19 05:43:45.442361	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	3.00200000e+01	2.27400000e+01	3.17000000e+00	2.77300000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21600000e+01	2.96000000e+00	1.47500000e+02	3.31300000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73000000e+01
2016-01-19 05:43:46.012113	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79090000e+01	3.00200000e+01	2.27400000e+01	3.16000000e+00	2.77300000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21600000e+01	2.96000000e+00	1.47500000e+02	3.31300000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73000000e+01
2016-01-19 05:43:46.700958	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	2.99900000e+01	2.27000000e+01	3.16000000e+00	2.77300000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.96000000e+00	1.47500000e+02	3.31300000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73200000e+01
2016-01-19 05:43:47.267781	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	2.99900000e+01	2.27000000e+01	3.16000000e+00	2.77300000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.96000000e+00	1.47500000e+02	3.31300000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40600000e+01	3.73200000e+01
2016-01-19 05:43:47.901823	2.21500000e+01	1.79900000e+01	2.00000000e-02	6.76000000e+01	1.79170000e+01	2.99900000e+01	2.27000000e+01	3.16000000e+00	2.77300000e+01	5.04400000e+01	5.18400000e+01	7.13700000e+01	5.15746000e+03	2.21500000e+01	2.95000000e+00	1.47540000e+02	3.31500000e+01	1.47500000e+02	4.90400000e+01	3.00000000e+01	2.00000000e-02	5.15746000e+03	5.30312000e+03	5.30319000e+03	2.27000000e+01	3.40800000e+01	3.72900000e+01
